id_str,text,created_at,retweet_count,favorite_count,is_retweet,neg,neu,pos,cmpd
1194089337887109126,A great try by seanspicer. We are all proud of you!,11-12-2019 03:07:37,10890,64917,False,0.0,0.516,0.484,0.8172
1194065765273653249,Vote for Sean Spicer on Dancing with the Stars. He is a great and very loyal guy who is working very hard. He is in the quarterfinals - all the way with Sean! MAGA KAG  ,11-12-2019 01:33:57,7526,24895,False,0.043,0.76,0.197,0.7959
1194056520427810816,“This isn’t about Ukraine. This isn’t about Impeachment. This is about subverting Democracy!” BillOReilly So true and led by angry and dishonest people who hate themselves and must hate our Country!,11-12-2019 00:57:13,19939,71390,False,0.336,0.583,0.081,-0.9075
1194041680019755010,want that to be an impeachable offense? Good luck with that!” JesseBWatters FoxNews,11-11-2019 23:58:15,10569,42127,False,0.108,0.487,0.405,0.6696
1194041674739208192,“The President has until September 30th to give this aid to Ukraine. He gets it out on September 11th. 3 weeks before the deadline. So we give our ally aid and Joe Biden is not investigated. Remember that they get the aid and we get nothing in return. The Democrats....,11-11-2019 23:58:14,15674,57231,False,0.0,1.0,0.0,0.0
1194037811932016640,Schiff and the Dems have created this whole thing they reverse engineer it. They’ve been vowing to impeach for three years. Why should we listen to them? Why should we want to?”  greggutfeld FoxNews,11-11-2019 23:42:53,16754,62847,False,0.0,0.897,0.103,0.3939
1194035922066714625,In order to continue being the most Transparent President in history I will be releasing sometime this week the Transcript of the first and therefore most important phone call I had with the President of Ukraine. I am sure you will find it tantalizing!,11-11-2019 23:35:22,32169,127116,False,0.0,0.893,0.107,0.5697
1194033162936102912,Just like Schiff fabricated my phone call he will fabricate the transcripts that he is making and releasing!,11-11-2019 23:24:24,20159,80231,False,0.0,0.859,0.141,0.4199
1194031678395686912,Schiff is giving Republicans NO WITNESSES NO LAWYER  NO DUE PROCESS! It is a totally one sided Witch Hunt. This can’t be making the Democrats look good. Such a farce!,11-11-2019 23:18:30,24198,87682,False,0.361,0.51,0.129,-0.8607
1194014474375761924,Read the Transcript. It is PERFECT!,11-11-2019 22:10:09,18781,94711,False,0.0,0.514,0.486,0.6932
1193991917022908417,"Great new book by BillOReilly ""United States of Trump"" is not stupid fake ""anonymous"" crap about Trump wi…",11-11-2019 20:40:30,7092,0,True,0.093,0.467,0.439,0.8635
1193991769244999682,To think I signed the Whistleblower Protection Act!  ,11-11-2019 20:39:55,13327,52502,False,0.0,1.0,0.0,0.0
1193991207761928193,President Trump has a proven record of accomplishments for veterans from reforming the VA to the lowest veteran u…,11-11-2019 20:37:41,7632,0,True,0.133,0.867,0.0,-0.3818
1193991081295302657,As a candidate Trump made veterans a centerpiece of his presidential campaign. As President he restored qualit…,11-11-2019 20:37:11,8794,0,True,0.0,0.854,0.146,0.34
1193988426233712642,Where is the Whistleblower who gave so much false information? Must testify along with Schiff and others!,11-11-2019 20:26:38,23976,107411,False,0.0,1.0,0.0,0.0
1193973876654583809,Today we come together as one Nation to salute the Veterans of the United States Armed Forces – the greatest warriors ever to walk on the face of the Earth. Our Veterans risked everything for us. Now it is our duty to serve and protect THEM every day of our lives!  ,11-11-2019 19:28:49,22222,83949,False,0.033,0.796,0.171,0.8398
1193970684155826178,What a night at the season ending SchwabCupFinale. Congratulations to both Jeff_Maggert on his ChampionsTour win and Sc…,11-11-2019 19:16:08,2889,0,True,0.0,0.661,0.339,0.8271
1193948705025605632,"On November 11 we share ""our Nation’s deepest praise and gratitude to every citizen who has worn the uniform of the Americ…",11-11-2019 17:48:48,11465,0,True,0.075,0.614,0.311,0.7845
1193948574935060482,"""The First Lady and I have come to express the everlasting love and loyalty of 327 million Americans.""  …",11-11-2019 17:48:17,10549,0,True,0.0,0.661,0.339,0.8271
1193948535982571520,Today our Nation comes together to salute the veterans of the United States Armed Forces.  ,11-11-2019 17:48:08,7360,0,True,0.0,0.833,0.167,0.4215
1193897574899634176,“The Chinese say (about Trump’s Trade War  Tariffs) ‘he brought us to the table.’ This is the most prosperous economy the world has ever seen and it’s going to be a very prosperous economy.” Jamie Dimon on 60Minutes  Thank you President Trump  the Republican Party!,11-11-2019 14:25:38,13758,51565,False,0.071,0.707,0.223,0.8115
1193896275093184512,Shifty Adam Schiff will only release doctored transcripts. We haven’t even seen the documents and are restricted from (get this) having a lawyer. Republicans should put out their own transcripts! Schiff must testify as to why he MADE UP a statement from me and read it to all!,11-11-2019 14:20:28,25555,92302,False,0.066,0.934,0.0,-0.4912
1193894144747429889,The lawyer for the Whistleblower takes away all credibility from this big Impeachment Scam! It should be ended and the Whistleblower his lawyer and Corrupt politician Schiff should be investigared for fraud!,11-11-2019 14:12:00,19428,72631,False,0.212,0.788,0.0,-0.8436
1193893631616270336,So with one Rally by me at the end of the campaign I lift the poll numbers of Kentucky Governor Matt Bevin by 19 points he just misses every other Republican in the Commonwealth wins big and the Fake News blames me for a bad night! OK! By the way Mississippi won everything!,11-11-2019 14:09:57,14756,61698,False,0.182,0.663,0.156,0.2521
1193891291953807360,Will be meeting with representatives of the Vaping industry together with medical professionals and individual state representatives to come up with an acceptable solution to the Vaping and E-cigarette dilemma. Children’s health  safety together with jobs will be a focus!,11-11-2019 14:00:40,13429,61666,False,0.038,0.788,0.173,0.7177
1193881433338732547,While Democrats are focused on smearing Trump Republicans are focused on confirming more conservative judges…,11-11-2019 13:21:29,9973,0,True,0.0,0.714,0.286,0.6369
1193717656844742658,Rep. Swalwell claims “for the most part [witnesses] have not been coordinating...”For the most part? What about the…,11-11-2019 02:30:42,13754,0,True,0.0,1.0,0.0,0.0
1193717558949621762,Republicans have requested a list of witnesses for the impeachment hearings (alphabetical order):-Devon Archer-Hunter Bi…,11-11-2019 02:30:18,27426,0,True,0.0,1.0,0.0,0.0
1193716405771931650,A great new book just out “The Plot Against the President. The True Story Of How Congressman Devin Nunes Uncovered the Biggest Political Scandal In U.S. History.” Shows very bad and corrupt people on the other side. Check it out!  ,11-11-2019 02:25:43,12262,39227,False,0.137,0.716,0.147,0.1278
1193716259944304646,If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson who has been missing in Iran for 12 years it would be a very positive step. At the same time upon information  belief Iran is  has been enriching uranium. THAT WOULD BE A VERY BAD STEP!,11-11-2019 02:25:09,18747,74371,False,0.13,0.805,0.065,-0.5938
1193707733259821056,Just finished reading my son Donald’s just out new book “Triggered.” It is really good! He along with many of us wa…,11-11-2019 01:51:16,31846,0,True,0.0,0.858,0.142,0.54
1193705914072780800,With President Trump's signature on the National POW-MIA Act the POW/MIA flag will now be flown with the Americ…,11-11-2019 01:44:02,16328,0,True,0.0,1.0,0.0,0.0
1193705872104579073,The “whistleblower”  all of his supposed sources should testify  answer GOP questions. Schiff blocking this would signa…,11-11-2019 01:43:52,12687,0,True,0.14,0.86,0.0,-0.3818
1193702529743433729,If Chairman Adam Schiff and Democrats are denying GOP impeachment witnesses to prevent a “sham process” they’re certai…,11-11-2019 01:30:35,15459,0,True,0.13,0.811,0.059,-0.3182
1193702319273238529,The Dems aren’t just ripping our country in half w/this impeachment charade they’re also willingly setting fire to our a…,11-11-2019 01:29:45,6799,0,True,0.112,0.888,0.0,-0.34
1193665354729431040,NikkiHaley is out with a new book “With All Due Respect” this week. Make sure you order your copy today or stop by one of her book tour stops to get a copy and say hello. Good luck Nikki!  ,11-10-2019 23:02:52,13102,54659,False,0.086,0.722,0.192,0.69
1193615188311912449,The call to the Ukrainian President was PERFECT. Read the Transcript! There was NOTHING said that was in any way wrong. Republicans don’t be led into the fools trap of saying it was not perfect but is not impeachable. No it is much stronger than that. NOTHING WAS DONE WRONG!,11-10-2019 19:43:31,22864,96945,False,0.124,0.667,0.209,0.8115
1193605807369269248,“There’s nothing there! I’m trying to let the House know that they’re dividing America for no good reason. We’ve got a lot of things we should be doing like lowering drug costs  getting a trade deal with Mexico and Canada.” LindseyGrahamSC  The Do Nothing Dems have gone crazy!,11-10-2019 19:06:15,19820,73121,False,0.134,0.765,0.101,-0.1984
1193603788898263041,Corrupt politician Adam Schiff wants people from the White House to testify in his and Pelosi’s disgraceful Witch Hunt yet he will not allow a White House lawyer nor will he allow ANY of our requested witnesses. This is a first in due process and Congressional history!,11-10-2019 18:58:14,27605,94947,False,0.127,0.873,0.0,-0.6278
1193579547771453441,HappyBirthdayMarines!Today we celebrate our heritage and honor the sacrifices of those who fought before us.  …,11-10-2019 17:21:54,23304,0,True,0.107,0.558,0.335,0.7088
1193562107666673664,ABC is as bad as the rest of them. Journalistic standards are nonexistent today. The press is so dishonest that we no longer have Freedom of the Press!  ,11-10-2019 16:12:36,30586,95587,False,0.276,0.616,0.108,-0.7603
1193560837656662016,Happy 244th birthday 🎂 to the most powerful fighting force on the planet the USMC!HappyBirthdayMarines  …,11-10-2019 16:07:33,14026,0,True,0.122,0.569,0.31,0.6493
1193560794367062016,“Watters World is calling for an independent investigation into ABC News... The media wants…,11-10-2019 16:07:23,10012,0,True,0.0,1.0,0.0,0.0
1193377531828805632,Make America Great Again!  ,11-10-2019 03:59:10,21458,78213,False,0.0,0.406,0.594,0.6588
1193376950481489921,Just finished reading my son Donald’s just out new book “Triggered.” It is really good! He along with many of us wa…,11-10-2019 03:56:51,28981,0,True,0.0,0.858,0.142,0.54
1193375035324547072,Such an amazing game  place!  ,11-10-2019 03:49:14,19239,92930,False,0.0,0.494,0.506,0.6239
1193354680530718720,Concerns Opinions and Hearsay Are Not Evidence  ,11-10-2019 02:28:21,9103,0,True,0.0,1.0,0.0,0.0
1193354496513982464,Here’s Why The Justice Department Must Investigate Joe Biden’s “Quid Pro Quo”  ,11-10-2019 02:27:38,9600,0,True,0.0,0.764,0.236,0.5267
1193354435004518400,President Trump To Kick Off NYC 100th Veterans Day Parade  ,11-10-2019 02:27:23,6863,0,True,0.0,1.0,0.0,0.0
1193354400258908160,There is no whistleblower statute that permits an unelected and inferior federal employee to blow the whistle on the pres…,11-10-2019 02:27:15,8163,0,True,0.214,0.786,0.0,-0.5994
1193354342146789376,Gregg unravels the coordinated premeditated plot to impeach Trump WitchHunt  …,11-10-2019 02:27:01,5785,0,True,0.0,1.0,0.0,0.0
1193354322890780673,The “Whistleblower’s” Right to “Anonymity” is a Myth  ,11-10-2019 02:26:56,6823,0,True,0.0,1.0,0.0,0.0
1193354248467054593,Adam Schiff Sits on a Throne of Lies  ,11-10-2019 02:26:38,6644,0,True,0.318,0.682,0.0,-0.4215
1193354180938780673,Gregg Jarrett Unravels the Coordinated Premeditated Plot to Impeach Trump  ,11-10-2019 02:26:22,8679,0,True,0.0,1.0,0.0,0.0
1193351834628308992,BREAKING NEWSThe entire stadium cheering fo…,11-10-2019 02:17:03,40742,0,True,0.0,0.602,0.398,0.5106
1193350845573648385,But the Witch Hunt continues. After 3 years of relentless attacks against the Republican Party  me the Do Nothing De…,11-10-2019 02:13:07,16235,0,True,0.263,0.557,0.18,-0.5023
1193350653650669569,PRESIDENTIAL HARASSMENT!,11-10-2019 02:12:21,25118,0,True,0.791,0.209,0.0,-0.5848
1193350636202426368,Whatever happened to the so-called “informer” to Whistleblower 1? Seems to have disappeared after I released the…,11-10-2019 02:12:17,18648,0,True,0.112,0.888,0.0,-0.2263
1193350621040009216,I recommend that Nervous Nancy Pelosi (who backed up Schiff’s lie) Shifty Adam Schiff Sleepy Joe Biden the Whistleb…,11-10-2019 02:12:14,25150,0,True,0.101,0.725,0.174,0.128
1193350200066101249,“He is not a Whistleblower. He is a deepstater. Let the President do the job he was elected to do.” JudgeJeanine,11-10-2019 02:10:33,16183,65772,False,0.0,1.0,0.0,0.0
1193346708782112768,Such GREAT people!  ,11-10-2019 01:56:41,12509,60661,False,0.0,0.281,0.719,0.729
1193344970758864897,We know Adam Schiff coordinated with the whistleblower then lied about it. But now we have learned ANOTHER Democrat s…,11-10-2019 01:49:46,12252,0,True,0.087,0.913,0.0,-0.2023
1193344884310044673,The Trump Campaign just launched “Veterans for Trump.”  Trump is delivering for veterans:*Signed Veterans Accountabi…,11-10-2019 01:49:26,7366,0,True,0.0,0.903,0.097,0.128
1193344744740417537,Kamala taking a page out of Hillary’s book.2020 Democrats want to destroy millions of American jobs in the fossil fuel…,11-10-2019 01:48:53,4911,0,True,0.161,0.78,0.06,-0.4939
1193344658941698048,If Adam Schiff blocks these witness from testifying it will be further proof that this is a partisan political vendetta…,11-10-2019 01:48:32,8302,0,True,0.095,0.905,0.0,-0.2263
1193344593653157888,Ratify USMCA fund the troops lower…,11-10-2019 01:48:17,7301,0,True,0.0,1.0,0.0,0.0
1193344047567425536,Great day.. great game .. great reception for FLOTUS and Trump The south knows what’s what!  …,11-10-2019 01:46:06,10531,0,True,0.0,0.508,0.492,0.9273
1193343383395155968,Tomorrow night at my new time 8 pm eastern on Fox my one hour interview with Don Jr.  Please don’t miss it on Life Li…,11-10-2019 01:43:28,8771,0,True,0.062,0.849,0.089,0.1779
1193342176329007105,Thank you Andrew. Meadow was watching and is so proud of her great father and family!,11-10-2019 01:38:40,6474,35720,False,0.0,0.544,0.456,0.8975
1193339284746428416,Thank you Terrence!  ,11-10-2019 01:27:11,18850,75021,False,0.0,0.417,0.583,0.4199
